"model","regime","country","feature_set","L","protocol","phase","RMSE","MAE","QLIKE","RMSE_CV","tuning_val_qlike","tuning_val_mse","tuning_best_epoch","final_epochs","n_features","is_best_L","best_val_loss","epochs_used","n_refits","source_branch","source_file"
"TCN","covid","JP","momentum","22","expanding","Recovery","0.19684231532740132","0.13033318727888088","0.019538442830083394","0.25086007184682957","","","","","14","TRUE","","",,"CNNBased_GH","dl_results_momentum.csv"
"TCN","normal","US","extended","252","static","Full Test","0.17099001016759652","0.10560964753283324","0.027091249908155993","0.29225091309754825","0.028395045405252634","0.027317654970930264","22","22","28","TRUE","0.022094676174942245","29","76","CNNBased_GH","dl_results_extended.csv"
"TCN","normal","KR","extended","60","static","Full Test","0.13350180790909216","0.10549889807983981","0.024934789156772108","0.2511265378566702","0.018648977","0.014264257640012951","14","14","28","TRUE","0.019056961977164305","18","74","CNNBased_GH","dl_results_extended.csv"
"TCN","normal","JP","extended","252","static","Full Test","0.23977458439317395","0.19285052473822686","0.052225593","0.35232941098612275","0.016848089580680074","0.034169474","18","18","28","TRUE","0.018666961223472056","20","73","CNNBased_GH","dl_results_extended.csv"
"TCN","911","US","extended","22","static","Full Test","0.3786368077393093","0.31715031531121995","0.053838499","0.35957934985919027","0.021898066199845682","0.036492399871349335","10","10","28","TRUE","0.033359746111993716","24","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","US","extended","22","static","Recovery","0.3557229094728258","0.30646212073889645","0.058175348488398664","0.3807964136037586","0.021898066199845682","0.036492399871349335","10","10","28","TRUE","0.033359746111993716","24","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","US","extended","22","static","Shock","0.4662669033078646","0.36417837142944337","0.034756359","0.2958708041031898","0.021898066199845682","0.036492399871349335","10","10","28","TRUE","0.033359746111993716","24","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","KR","extended","252","static","Full Test","0.5874388606281609","0.37398209203692045","0.048789807","0.4162556966187628","0.027829924","0.068834275","8","8","28","TRUE","0.016661532","16","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","KR","extended","252","static","Recovery","0.382150718","0.2816951165505506","0.035908867","0.2688247644690181","0.027829924","0.068834275","8","8","28","TRUE","0.016661532","16","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","KR","extended","252","static","Shock","1.071745042036597","0.7465480301115248","0.10079063896041045","0.7825234062581893","0.027829924","0.068834275","8","8","28","TRUE","0.016661532","16","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","JP","extended","22","static","Full Test","0.2990039549886645","0.23635095626788033","0.022980629","0.21778026943760723","0.016237741253328764","0.047788355","11","11","28","TRUE","0.015183153352877225","26","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","JP","extended","22","static","Recovery","0.2662615332883708","0.20889520247777302","0.022396767443872093","0.20840019957960768","0.016237741253328764","0.047788355","11","11","28","TRUE","0.015183153352877225","26","7","CNNBased_GH","dl_results_extended.csv"
"TCN","911","JP","extended","22","static","Shock","0.39850843003702235","0.33931003298078266","0.025170108766240255","0.23029872024162645","0.016237741253328764","0.047788355","11","11","28","TRUE","0.015183153352877225","26","7","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","252","static","Full Test","0.5185710197028361","0.31598778170828495","0.024481236005020165","0.32081329185708607","0.021310031","0.016246602488347733","46","46","28","TRUE","0.022138109224667944","24","25","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","252","static","Lehman Crisis","0.9105571077603563","0.6595884770154953","0.039081482","0.3219629463906748","0.021310031","0.016246602488347733","46","46","28","TRUE","0.022138109224667944","24","25","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","252","static","Pre-Lehman","0.270035027","0.18736012053573933","0.020242734","0.24222317612448865","0.021310031","0.016246602488347733","46","46","28","TRUE","0.022138109224667944","24","25","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","252","static","Recovery","0.34922446421294673","0.2556070901453495","0.017574568373023104","0.2219712510275588","0.021310031","0.016246602488347733","46","46","28","TRUE","0.022138109224667944","24","25","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","static","Full Test","0.6342813261070634","0.3582307943960073","0.028514098820945088","0.43158654765863014","0.021455517","0.026286892713077607","25","25","28","TRUE","0.020455295109672034","39","24","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","static","Lehman Crisis","1.1643983360252255","0.7503937674781024","0.041229339823787924","0.5000316669721028","0.021455517","0.026286892713077607","25","25","28","TRUE","0.020455295109672034","39","24","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","static","Pre-Lehman","0.2647537947137927","0.20735522432760758","0.023685669432128877","0.23170614436789772","0.021455517","0.026286892713077607","25","25","28","TRUE","0.020455295109672034","39","24","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","static","Recovery","0.3713282953570976","0.298425181","0.026356844365807642","0.27987422892247693","0.021455517","0.026286892713077607","25","25","28","TRUE","0.020455295109672034","39","24","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","JP","extended","22","static","Full Test","0.336783292","0.21533156880456158","0.018430731953201034","0.24771490124972964","0.0476612","0.054081537885221874","32","32","28","TRUE","0.016432654","32","24","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","JP","extended","22","static","Lehman Crisis","0.5729359173655747","0.3897895802531326","0.027473637663718277","0.26932038405320835","0.0476612","0.054081537885221874","32","32","28","TRUE","0.016432654","32","24","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","JP","extended","22","static","Pre-Lehman","0.20683064086854153","0.15414660738693678","0.015166106247619542","0.19212764367795238","0.0476612","0.054081537885221874","32","32","28","TRUE","0.016432654","32","24","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","JP","extended","22","static","Recovery","0.22247322471701564","0.1771500234480028","0.016786706881085574","0.17926488721024444","0.0476612","0.054081537885221874","32","32","28","TRUE","0.016432654","32","24","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","US","extended","60","static","Crash","1.102704071036716","0.8012477585247585","0.049668511","0.30700411680066136","0.020071246","0.013453886978866824","33","33","28","TRUE","0.024436717465128415","25","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","US","extended","60","static","Full Test","0.3909776084085869","0.22387770821730937","0.032022056794072426","0.3410228992707549","0.020071246","0.013453886978866824","33","33","28","TRUE","0.024436717465128415","25","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","US","extended","60","static","Pre-crash","0.10116749095347675","0.082798333","0.024873031871029058","0.21001290229551886","0.020071246","0.013453886978866824","33","33","28","TRUE","0.024436717465128415","25","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","US","extended","60","static","Recovery","0.2501753948469114","0.186445453","0.031395183","0.25012356174544764","0.020071246","0.013453886978866824","33","33","28","TRUE","0.024436717465128415","25","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","KR","extended","60","static","Crash","0.4487192457584387","0.2872454013143267","0.013945824469297057","0.228380691","0.016182918159247328","0.012993285018114411","20","20","28","TRUE","0.023449725","23","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","KR","extended","60","static","Full Test","0.304444636","0.17974595328973186","0.027033227663974153","0.2985408045549716","0.016182918159247328","0.012993285018114411","20","20","28","TRUE","0.023449725","23","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","KR","extended","60","static","Pre-crash","0.13408385944314266","0.089616581","0.009634957","0.17197489618212344","0.016182918159247328","0.012993285018114411","20","20","28","TRUE","0.023449725","23","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","KR","extended","60","static","Recovery","0.30727876533124054","0.18441803458457193","0.031636222","0.3200206633681517","0.016182918159247328","0.012993285018114411","20","20","28","TRUE","0.023449725","23","13","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","JP","extended","60","static","Crash","0.4545949128388739","0.3411230131199485","0.020491237794780265","0.19859788356514022","0.021508964","0.011955119","11","11","28","TRUE","0.022416853","26","12","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","JP","extended","60","static","Full Test","0.294818585","0.1777553951539913","0.036591282","0.3387235782859648","0.021508964","0.011955119","11","11","28","TRUE","0.022416853","26","12","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","JP","extended","60","static","Pre-crash","0.15644946563465179","0.12981789717168518","0.049615631","0.2915092852422202","0.021508964","0.011955119","11","11","28","TRUE","0.022416853","26","12","CNNBased_GH","dl_results_extended.csv"
"TCN","covid","JP","extended","60","static","Recovery","0.2928565923269009","0.1695723451113188","0.035925138660434744","0.37322272738841966","0.021508964","0.011955119","11","11","28","TRUE","0.022416853","26","12","CNNBased_GH","dl_results_extended.csv"
"TCN","normal","US","extended","252","expanding","Full Test","0.1655892036301613","0.10408332640337405","0.026946305","0.2830200191963105","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","normal","KR","extended","252","expanding","Full Test","0.11321793992916875","0.085144069","0.019264951837083946","0.21297111794199336","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","normal","JP","extended","60","expanding","Full Test","0.19698645331420248","0.138626508","0.030501431","0.2894557037564577","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","US","extended","22","expanding","Full Test","0.33151823051386214","0.26011338","0.039374423997079064","0.3148323336718959","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","US","extended","22","expanding","Recovery","0.28044537877895487","0.22938215813853524","0.039534548","0.30021286683232773","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","US","extended","22","expanding","Shock","0.4974184702794557","0.39533075809478757","0.038669876","0.3156381071297857","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","KR","extended","22","expanding","Full Test","0.6483114815949428","0.48467348954256845","0.074020819","0.4593896752228385","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","KR","extended","22","expanding","Recovery","0.576669519","0.4329473852017604","0.066588863","0.40565944306172946","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","KR","extended","22","expanding","Shock","0.8801126762328761","0.6934936885480527","0.10402390187550123","0.6426050434420799","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","JP","extended","60","expanding","Full Test","0.3053780440598633","0.2427903678184165","0.022865973064650887","0.22242285296262315","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","JP","extended","60","expanding","Recovery","0.27081155949456054","0.21270709321612402","0.021571253","0.21196145890892815","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","911","JP","extended","60","expanding","Shock","0.40980963103146734","0.35560264757701326","0.027721171980934323","0.23682970410556198","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","60","expanding","Full Test","0.5803155446876612","0.3374057565786824","0.027064733","0.35901146252594635","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","60","expanding","Lehman Crisis","1.0450612770717904","0.7214867025613785","0.041556196","0.369522137","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","60","expanding","Pre-Lehman","0.2800370421612031","0.19885831112996427","0.022450219892521706","0.2511950486115723","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","US","extended","60","expanding","Recovery","0.34290308213392456","0.25139592587947845","0.021651382018518683","0.21795330488662598","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","expanding","Full Test","0.4183211872622027","0.2603760013242605","0.021444309832907453","0.28463993750381805","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","expanding","Lehman Crisis","0.7067697392076606","0.46171973418381257","0.025017856","0.3035106113839282","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","expanding","Pre-Lehman","0.23646988432745558","0.18137103763493626","0.020506288516919578","0.20695274723396842","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","KR","extended","22","expanding","Recovery","0.32500551430026847","0.23497355803847314","0.019397778","0.24496023827881463","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","JP","extended","60","expanding","Full Test","0.33823744682052415","0.23825274547960004","0.022731206290350997","0.24878447837000423","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","JP","extended","60","expanding","Lehman Crisis","0.5214998423324899","0.3499114727764799","0.01872957","0.2451417925873482","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
"TCN","gfc","JP","extended","60","expanding","Pre-Lehman","0.2625631730267242","0.2097119923533085","0.02616637","0.24389830993316663","","","","","28","TRUE","","","","CNNBased_GH","dl_results_extended.csv"
