sample_id,prediction_date,split,RV_target
0,2000-04-21,train,1.374307632446289
1,2000-04-24,train,1.5357431173324585
2,2000-04-25,train,1.8713120222091675
3,2000-04-26,train,2.361956834793091
4,2000-04-27,train,2.852036476135254
5,2000-04-28,train,2.154448986053467
6,2000-05-02,train,2.314908742904663
7,2000-05-03,train,1.6009936332702637
8,2000-05-04,train,1.8776867389678955
9,2000-05-08,train,1.842365026473999
10,2000-05-09,train,1.2824901342391968
11,2000-05-10,train,1.0925482511520386
12,2000-05-12,train,1.6740919351577759
13,2000-05-15,train,1.4930540323257446
14,2000-05-16,train,2.0935659408569336
15,2000-05-17,train,2.563326835632324
16,2000-05-18,train,2.37846302986145
17,2000-05-19,train,2.8845090866088867
18,2000-05-22,train,2.194732666015625
19,2000-05-23,train,2.880378246307373
20,2000-05-24,train,3.5195558071136475
21,2000-05-25,train,2.378612756729126
22,2000-05-26,train,3.16522479057312
23,2000-05-29,train,2.8418846130371094
24,2000-05-30,train,2.539525270462036
25,2000-05-31,train,2.718221664428711
26,2000-06-01,train,2.751593589782715
27,2000-06-02,train,2.4956235885620117
28,2000-06-05,train,1.4420005083084106
29,2000-06-07,train,2.7844130992889404
30,2000-06-08,train,3.6790974140167236
31,2000-06-09,train,3.6901893615722656
32,2000-06-12,train,2.8209259510040283
33,2000-06-13,train,2.4022743701934814
34,2000-06-14,train,3.00815486907959
35,2000-06-15,train,2.5794317722320557
36,2000-06-16,train,2.9511330127716064
37,2000-06-19,train,2.7699952125549316
38,2000-06-20,train,1.6655925512313843
39,2000-06-21,train,2.110159158706665
40,2000-06-22,train,2.4059624671936035
41,2000-06-23,train,1.3728556632995605
42,2000-06-26,train,1.2995344400405884
43,2000-06-27,train,1.2514246702194214
44,2000-06-28,train,1.4303522109985352
45,2000-06-29,train,1.9918968677520752
46,2000-06-30,train,1.437709927558899
47,2000-07-03,train,0.8760907649993896
48,2000-07-04,train,1.4898570775985718
49,2000-07-05,train,1.8074382543563843
50,2000-07-06,train,1.4565571546554565
51,2000-07-07,train,1.4770910739898682
52,2000-07-10,train,1.1391303539276123
53,2000-07-11,train,1.8590655326843262
54,2000-07-12,train,1.8024405241012573
55,2000-07-13,train,1.4047287702560425
56,2000-07-14,train,1.3164383172988892
57,2000-07-18,train,1.1253187656402588
58,2000-07-19,train,1.519389033317566
59,2000-07-20,train,1.704054355621338
60,2000-07-21,train,1.7926149368286133
61,2000-07-24,train,1.6555382013320923
62,2000-07-25,train,2.5124752521514893
63,2000-07-26,train,2.4340860843658447
64,2000-07-27,train,1.7522796392440796
65,2000-07-28,train,1.5557788610458374
66,2000-07-31,train,2.367527723312378
67,2000-08-01,train,2.243250846862793
68,2000-08-02,train,1.7749589681625366
69,2000-08-03,train,1.5006344318389893
70,2000-08-04,train,1.521874189376831
71,2000-08-07,train,1.1528809070587158
72,2000-08-08,train,1.7410507202148438
73,2000-08-09,train,1.9631969928741455
74,2000-08-10,train,2.8449525833129883
75,2000-08-11,train,1.819189190864563
76,2000-08-14,train,1.2399593591690063
77,2000-08-16,train,1.1453187465667725
78,2000-08-17,train,1.5751953125
79,2000-08-18,train,1.3831831216812134
80,2000-08-21,train,1.1855956315994263
81,2000-08-22,train,1.3736602067947388
82,2000-08-23,train,1.4524562358856201
83,2000-08-24,train,1.843095064163208
84,2000-08-25,train,1.6855746507644653
85,2000-08-28,train,1.006913661956787
86,2000-08-29,train,1.4544118642807007
87,2000-08-30,train,0.841339647769928
88,2000-08-31,train,1.8938335180282593
89,2000-09-01,train,1.8621796369552612
90,2000-09-04,train,1.5961308479309082
91,2000-09-05,train,1.7771046161651611
92,2000-09-06,train,1.7696062326431274
93,2000-09-07,train,1.9025510549545288
94,2000-09-08,train,1.4721684455871582
95,2000-09-14,train,1.9558944702148438
96,2000-09-15,train,2.238218069076538
97,2000-09-18,train,3.2507927417755127
98,2000-09-19,train,3.3887979984283447
99,2000-09-20,train,1.5666477680206299
100,2000-09-21,train,3.3920884132385254
101,2000-09-22,train,2.572795867919922
